date,SKUCode,Description,total_qty
20260102,1325220416092VURL0,205/60R16  UX ROYALE   TL  92V,1205
20260102,1325220515094VURL1,205/65 R15 UX-ROYALE TL  94V SASO,504
20260102,1325220515094VUTR0,205/65R15 UX TOURING TL  94V,2473
20260102,1325220515094VZEP0,205/65 R15 ZEPHYR  TL   94 V,977
20260102,1325220516095HTMX0,NA,5272
20260102,1325220516095HUTR0,205/65R16UX TOURING TL 95H,1786
20260102,1325221317098VUX10,215/55R17UX1 TL 98 V,1774
20260102,1325221416095VURL0,215/60 R16 UX ROYALE TL YAD MC -MSIL ,9959
20260102,1325221417100HURL1,215/60 R17 UX ROYALE TL    100H,2475
20260102,1325221715100SRHT0,215/75 R 15 RANGER HT TL,9152
20260102,1325221715100SRXT0,215/75 R 15 RANGER X-AT TL,538
20260102,1325222317101VUX10,225/55R17 UX1 101V ,2475
20260102,1325222417099HURL0,225/60R17 UX ROYAL 99H TL,558
20260102,1325223317103VUX10,NA,148
20260102,1325223517104HRHT0,235/65R17 RANHER HT TL,2905
20260102,1325223517104HRPG0,NA,1998
20260102,1325223616105HRHT0,235/70R16 Ranger HT TL,1327
20260102,1325223715105SRXT0,235/75 R 15 RANGER X-AT TL,1151
20260102,1325226517112HRHT0,265/65R17 RANHER HT 112H TL,1061
20260102,1425118916008QRBT0,185/85R16 RANGER BRUTE TT LT 105Q,1443
20260102,1D25115013008QXPC0,155 R13 ULTIMA XPC Q TT,955
20260102,1D25212812074FXC10,120/80 R 12 ULTIMA XPC 1 TL,28905
20260102,1D25212812086FXPC0,120/80R12 ULTIMA XPC TL,14489
20260102,1D25213812090FXPC0,130/80R12 ULTIMA XPC TL 90 F,21804
20260102,1D25215Z13008QXPC0,155R13 ULTIMA XPC  Q TL,3110
20260103,1225119015010QSTL0,195R15 LT STEEL KING TT  10 PR,101
20260103,1225121715115SSTL0,215 / 75 R 15 STEEL KING TT,1335
20260103,1225121716010SXC10,NA,1011
20260103,1225121Z14112LSTL0,215 R14 STEEL KING TT,442
20260103,1225170015010LSTL0,7.00R15 STEEL KING TT 10PR,3465
20260103,1225170015012LSTL0,7.00R15 STEEL KING TT 12PR,16920
20260103,1225175016012NJTL0,7.50R16 LT JUH STEEL TT,98
20260103,1225219015008SLTB0,195/80R15 BRUTE LT 8PR S TL,788
20260103,1225219015010QSTL0,    195R15 LT STEEL KING TL  10 PR,308
20260103,1225220Z16008RXC10,205 R 16 ULTIMA XPC -1 TL,761
20260103,1225221715115SSTL0,215 / 75 R 15 STEEL KING TL,1816
20260103,1225221716010SXC10,NA,8089
20260103,1225222716121MXC11,225/75 R 16 ULTIMA XPC -1 TL VOLVO,360
20260103,1225222716121NXC11,NA,557
20260103,1225223516121PSKP0,235/65 R 16 STEEL KING+ TL,5055
20260103,1325114612069TUHL0,145/70R12 ULTIMA HILIFE69T TT,8176
20260103,1325114613071TTMX0,145/70 R 13 TAXIMAX TT  71T,632
20260103,1325114812074TUHL0,145/80R12 ULTIMA HILIFE TT 74T ,12222
20260103,1325119015008SRBT0,195 R15 LT RANGER BRT TT,811
20260103,1325119815106QBRQ0,195 / 80 R15 BRUTE TT  ,8014
20260103,1325121715100SBRT0,215/75 R15 BRUTE 4X4 TT,1591
20260103,1325121715100SRBT0,NA,1609
20260103,1325121715100SRXT0,215/75 R 15 RANGER X-AT  TT,415
